id,title,citation,year,source_class,identifier,id_kind,verified,retrieval_status,mechanism_nodes,cohorts,enforcement_signal,caveat,link
tff-001,"Sherman Act Section 2 — monopolization, attempt, conspiracy to monopolize",15 USC 2,1890,statute_enacted,15-USC-2,usc_section,VERIFIED,VERIFIED,antitrust_monopolization|criminal_enforcement,big_tech|healthcare_providers|pharma|online_marketplaces,WARN,"L1_statute_index;binding_law_in_force;felony_on_its_face;penalty_100M_corp_1M_person_10yr_per_2004_amendment;indexed_presence_is_not_a_finding_of_violation;not_legal_advice",https://www.law.cornell.edu/uscode/text/15/2
tff-002,"Criminal Section 2 enforcement record — DOJ prosecutions over time",DOJ Antitrust Division,2024,enforcement_record,sherman2-criminal-history,enforcement_stat,VERIFIED,VERIFIED,criminal_enforcement|regulatory_capture,big_tech|healthcare_providers|pharma,WARN,"L1_enforcement_index;100plus_criminal_s2_cases_in_first_80yr;last_classic_case_1977;~45yr_gap_to_US_v_Zito_2022;recent_pleas_were_probation_not_10yr_terms;supports_near_zero_imprisonment_claim;correlation_is_not_causation",https://www.americanbar.org/groups/antitrust_law/resources/magazine/2022-summer/criminal-enforcement-section-2-sherman-act/
tff-003,"Bringing in and harboring certain aliens — harboring, transporting, employing",8 USC 1324,1952,statute_enacted,8-USC-1324,usc_section,VERIFIED,VERIFIED,immigration_labor|criminal_enforcement,employers_landlords|online_marketplaces,WARN,"L1_statute_index;binding_law_in_force;penalties_range_1_to_20yr_by_offense;harboring_transporting_up_to_5_10yr;employing_10plus_knowing_up_to_5yr;indexed_presence_is_not_a_finding_of_violation;not_legal_advice",https://www.law.cornell.edu/uscode/text/8/1324
tff-004,"Employer / harboring enforcement record — officers and directors imprisoned",DOJ / DHS practice,2025,enforcement_record,1324-enforcement,enforcement_stat,POINTER_ONLY,POINTER_ONLY,criminal_enforcement|immigration_labor,employers_landlords,WARN,"L2_enforcement_pointer;corporate_officer_imprisonment_for_employment_harboring_is_rare;most_actions_civil_fines_or_worker_focused;denominator_context_required;absence_of_prosecution_is_a_data_point_not_proof_of_innocence",https://www.justice.gov/sites/default/files/criminal-hrsp/legacy/2011/01/31/1324.pdf
tff-005,"American Innovation and Choice Online Act (AICOA) — reintroduced",S.4746 (119th Congress),2026,bill_pending,S4746-119,bill,VERIFIED,VERIFIED,antitrust_monopolization|app_store_fees|ad_tech_intermediation,big_tech,WATCH,"L1_bill_index;introduced_not_enacted;Grassley_Klobuchar_June_2026;covers_platforms_175B_revenue_34pct_reach;failed_twice_prior;pending_is_not_law;new_law_layered_on_existing_unenforced_15USC2",https://www.judiciary.senate.gov/press/rep/releases/grassley-klobuchar-introduce-bipartisan-legislation-to-lower-prices-expand-consumer-choice-and-restore-online-competition-in-the-digital-marketplace
tff-006,"Open App Markets Act — app-store fee and sideloading bill",S.2153 (119th Congress),2025,bill_pending,S2153-119,bill,VERIFIED,VERIFIED,app_store_fees|antitrust_monopolization,big_tech,WATCH,"L1_bill_index;introduced_not_enacted;targets_15_30pct_app_store_commission_and_payment_lock_in;prior_versions_cleared_committee_no_floor_vote;pending_is_not_law",https://www.congress.gov/bill/119th-congress/senate-bill/2153/text
tff-007,"AMERICA Act — ad-tech / Google ad-intermediation divestiture bill",AMERICA Act (S.1073-equiv),2025,bill_pending,america-act-adtech,bill,POINTER_ONLY,POINTER_ONLY,ad_tech_intermediation|antitrust_monopolization,big_tech,WATCH,"L2_bill_pointer;targets_ad_exchange_intermediation_conflict;exact_bill_number_unconfirmed_this_pass;referenced_as_Google_ad_monopoly_bill;pending_is_not_law;verify_before_citing",https://www.congress.gov/
tff-008,"AMA CPT coding license mandate — HIPAA-designated billing standard",HIPAA 45 CFR 162 / CMS-AMA license,2000,agency_practice,cpt-cms-mandate,agency_arrangement,VERIFIED,VERIFIED,licensing_mandate|copyright_lock_in|regulatory_capture,CMS_AMA|healthcare_providers,WARN,"L1_practice_index;CPT_copyrighted_by_AMA;HIPAA_designated_CPT_national_standard;providers_must_license_to_bill_government;Sen_Cassidy_MD_demanded_accounting_of_monopoly_profits_2025;govt_mandate_of_private_copyright_is_the_documented_fact;monopoly_characterization_is_contested",https://www.cms.gov/license/ama
tff-009,"Private-equity rollup of physician, dental and clinical practices",editorial claim (Denninger),2026,claim_editorial,denninger-pe-rollup,assertion,POINTER_ONLY,POINTER_ONLY,private_equity_rollup|antitrust_monopolization,healthcare_providers,CAUTION,"L3_editorial_claim;PE_consolidation_of_practices_is_documented_trend;characterization_as_per_se_15USC2_violation_is_author_argument_not_adjudicated;plausible_mechanism_limited_case_law;correlation_is_not_causation",https://market-ticker.org/akcs-www?post=255563
tff-010,"College tuition / medical-school capacity controls as collusion",editorial claim (Denninger),2026,claim_editorial,denninger-tuition-capacity,assertion,POINTER_ONLY,POINTER_ONLY,antitrust_monopolization|regulatory_capture,medical_schools|consumers,CAUTION,"L3_editorial_claim;residency_slot_and_accreditation_capacity_limits_are_real;antitrust_framing_is_author_argument;some_tuition_antitrust_suits_exist_eg_568_cartel;not_adjudicated_as_to_this_claim;contested_not_dismissed",https://market-ticker.org/akcs-www?post=255563
